pwm left,pwm right,srf left,srf right
-35.0,-35.0,33,15
-36.0,-36.0,99,15
-37.0,-37.0,99,15
-38.0,-38.0,32,16
-39.0,-39.0,54,15
-40.0,-40.0,30,16
-41.0,-41.0,25,16
-42.0,-42.0,46,15
-43.0,-43.0,100,15
-44.0,-44.0,100,15
-45.0,-45.0,101,15
-46.0,-46.0,103,17
-47.0,-47.0,20,18
-48.0,-48.0,21,18
-49.0,-49.0,21,19
-50.0,-50.0,23,21
-51.0,-51.0,24,22
-52.0,-52.0,26,23
-53.0,-53.0,27,25
-54.0,-54.0,29,26
-55.0,-55.0,31,27
-56.0,-56.0,32,29
-57.0,-57.0,34,31
-58.0,-58.0,37,32
-59.0,-59.0,38,35
-60.0,-60.0,40,37
-61.0,-61.0,43,40
-62.0,-62.0,44,42
-63.0,-63.0,47,44
-64.0,-64.0,49,46
-65.0,-65.0,51,48
-66.0,-66.0,53,50
-67.0,-67.0,55,52
-68.0,-68.0,57,54
-69.0,-69.0,60,56
