pwm left,pwm right,srf left,srf right
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,244.0
80.0,50.0,52.0,289.0
79.0,49.0,50.0,274.0
78.0,48.0,50.0,274.0
77.0,47.0,49.0,271.0
76.0,46.0,47.0,269.0
75.0,45.0,44.0,260.0
74.0,44.0,40.0,257.0
73.0,43.0,41.0,254.0
72.0,42.0,43.0,251.0
71.0,41.0,47.0,117.0
70.0,40.0,50.0,245.0
69.0,39.0,55.0,243.0
68.0,38.0,67.0,240.0
67.0,37.0,64.0,238.0
66.0,36.0,90.0,237.0
65.0,35.0,100.0,239.0
64.0,34.0,95.0,233.0
63.0,33.0,92.0,229.0
62.0,32.0,85.0,226.0
61.0,31.0,80.0,224.0
60.0,30.0,72.0,222.0
59.0,29.0,63.0,221.0
58.0,28.0,55.0,223.0
57.0,27.0,47.0,231.0
56.0,26.0,40.0,230.0
55.0,25.0,49.0,230.0
54.0,24.0,56.0,215.0
53.0,23.0,64.0,213.0
52.0,22.0,70.0,224.0
51.0,21.0,79.0,224.0
50.0,20.0,86.0,223.0
49.0,19.0,91.0,221.0
48.0,18.0,99.0,219.0
47.0,17.0,107.0,220.0
46.0,16.0,122.0,219.0
45.0,15.0,132.0,217.0
44.0,14.0,145.0,219.0
43.0,13.0,162.0,220.0
42.0,12.0,180.0,230.0
41.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,244.0,0.0
50.0,80.0,289.0,52.0
49.0,79.0,274.0,50.0
48.0,78.0,274.0,50.0
47.0,77.0,271.0,49.0
46.0,76.0,269.0,47.0
45.0,75.0,260.0,44.0
44.0,74.0,257.0,40.0
43.0,73.0,254.0,41.0
42.0,72.0,251.0,43.0
41.0,71.0,117.0,47.0
40.0,70.0,245.0,50.0
39.0,69.0,243.0,55.0
38.0,68.0,240.0,67.0
37.0,67.0,238.0,64.0
36.0,66.0,237.0,90.0
35.0,65.0,239.0,100.0
34.0,64.0,233.0,95.0
33.0,63.0,229.0,92.0
32.0,62.0,226.0,85.0
31.0,61.0,224.0,80.0
30.0,60.0,222.0,72.0
29.0,59.0,221.0,63.0
28.0,58.0,223.0,55.0
27.0,57.0,231.0,47.0
26.0,56.0,230.0,40.0
25.0,55.0,230.0,49.0
24.0,54.0,215.0,56.0
23.0,53.0,213.0,64.0
22.0,52.0,224.0,70.0
21.0,51.0,224.0,79.0
20.0,50.0,223.0,86.0
19.0,49.0,221.0,91.0
18.0,48.0,219.0,99.0
17.0,47.0,220.0,107.0
16.0,46.0,219.0,122.0
15.0,45.0,217.0,132.0
14.0,44.0,219.0,145.0
13.0,43.0,220.0,162.0
12.0,42.0,230.0,180.0
11.0,41.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,120.0,93.0
79.0,49.0,318.0,306.0
78.0,48.0,318.0,314.0
77.0,47.0,29.0,302.0
76.0,46.0,302.0,301.0
75.0,45.0,26.0,298.0
74.0,44.0,295.0,295.0
73.0,43.0,27.0,291.0
72.0,42.0,288.0,287.0
71.0,41.0,30.0,240.0
70.0,40.0,29.0,227.0
69.0,39.0,24.0,230.0
68.0,38.0,277.0,275.0
67.0,37.0,273.0,272.0
66.0,36.0,269.0,269.0
65.0,35.0,265.0,266.0
64.0,34.0,262.0,264.0
63.0,33.0,258.0,268.0
62.0,32.0,257.0,270.0
61.0,31.0,253.0,262.0
60.0,30.0,250.0,258.0
59.0,29.0,247.0,251.0
58.0,28.0,243.0,247.0
57.0,27.0,247.0,246.0
56.0,26.0,239.0,253.0
55.0,25.0,236.0,250.0
54.0,24.0,241.0,249.0
53.0,23.0,229.0,286.0
52.0,22.0,225.0,295.0
51.0,21.0,222.0,238.0
50.0,20.0,220.0,232.0
49.0,21.0,15.0,15.0
48.0,22.0,221.0,231.0
47.0,23.0,216.0,232.0
46.0,24.0,212.0,229.0
45.0,25.0,209.0,267.0
44.0,26.0,207.0,261.0
43.0,27.0,205.0,260.0
42.0,28.0,203.0,256.0
41.0,29.0,200.0,254.0
40.0,30.0,197.0,250.0
39.0,31.0,194.0,206.0
38.0,32.0,62.0,208.0
37.0,33.0,190.0,246.0
36.0,34.0,57.0,243.0
35.0,35.0,185.0,251.0
34.0,36.0,182.0,237.0
33.0,37.0,180.0,242.0
32.0,38.0,178.0,240.0
31.0,39.0,182.0,235.0
30.0,40.0,176.0,227.0
29.0,41.0,171.0,223.0
28.0,42.0,168.0,221.0
27.0,43.0,165.0,222.0
26.0,44.0,163.0,228.0
25.0,45.0,161.0,224.0
24.0,46.0,158.0,222.0
23.0,47.0,156.0,220.0
22.0,48.0,154.0,218.0
21.0,49.0,152.0,216.0
20.0,50.0,152.0,227.0
20.0,51.0,150.0,225.0
20.0,52.0,146.0,209.0
20.0,53.0,144.0,193.0
20.0,54.0,144.0,200.0
20.0,55.0,143.0,175.0
20.0,56.0,142.0,21.0
20.0,57.0,139.0,16.0
20.0,58.0,137.0,16.0
20.0,59.0,136.0,167.0
20.0,60.0,134.0,138.0
20.0,61.0,132.0,170.0
20.0,62.0,130.0,17.0
